[Fe/H]_init,log10_isochrone_age_yr,initial_mass
-1.25,9.6,1.1401581328644057
-1.25,9.61,1.1321552619254853
-1.25,9.62,1.1241523909865652
-1.25,9.629999999999999,1.116149520047645
-1.25,9.639999999999999,1.1081466491087248
-1.25,9.649999999999999,1.1001437781698047
-1.25,9.66,1.0924528509224565
-1.25,9.67,1.0847619236751098
-1.25,9.68,1.0770709964277632
-1.25,9.69,1.0693800691804163
-1.25,9.7,1.0616891419330696
-1.2,9.6,1.1437375469847393
-1.2,9.61,1.1357186890485864
-1.2,9.62,1.1276998311124338
-1.2,9.629999999999999,1.1196809731762811
-1.2,9.639999999999999,1.1116621152401285
-1.2,9.649999999999999,1.1036432573039756
-1.2,9.66,1.0959422641730234
-1.2,9.67,1.0882412710420728
-1.2,9.68,1.0805402779111222
-1.2,9.69,1.0728392847801715
-1.2,9.7,1.0651382916492211
-1.15,9.6,1.1473169611050729
-1.15,9.61,1.1392821161716877
-1.15,9.62,1.1312472712383024
-1.15,9.629999999999999,1.123212426304917
-1.15,9.639999999999999,1.115177581371532
-1.15,9.649999999999999,1.1071427364381465
-1.15,9.66,1.0994316774235904
-1.15,9.67,1.0917206184090358
-1.15,9.68,1.0840095593944812
-1.15,9.69,1.0762985003799266
-1.15,9.7,1.068587441365372
-1.1,9.6,1.1508963752254067
-1.1,9.61,1.1428455432947888
-1.1,9.62,1.134794711364171
-1.1,9.629999999999999,1.1267438794335531
-1.1,9.639999999999999,1.1186930475029353
-1.1,9.649999999999999,1.1106422155723175
-1.1,9.66,1.1029210906741573
-1.1,9.67,1.095199965775999
-1.1,9.68,1.0874788408778404
-1.1,9.69,1.0797577159796818
-1.1,9.7,1.0720365910815233
-1.05,9.6,1.1544757893457402
-1.05,9.61,1.14640897041789
-1.05,9.62,1.1383421514900396
-1.05,9.629999999999999,1.1302753325621893
-1.05,9.639999999999999,1.1222085136343387
-1.05,9.649999999999999,1.1141416947064882
-1.05,9.66,1.1064105039247245
-1.05,9.67,1.098679313142962
-1.05,9.68,1.0909481223611994
-1.05,9.69,1.0832169315794369
-1.05,9.7,1.0754857407976743
-1.0,9.6,1.158055203466074
-1.0,9.61,1.149972397540991
-1.0,9.62,1.141889591615908
-1.0,9.629999999999999,1.1338067856908252
-1.0,9.639999999999999,1.1257239797657423
-1.0,9.649999999999999,1.1176411738406593
-1.0,9.66,1.1098999171752912
-1.0,9.67,1.102158660509925
-1.0,9.68,1.0944174038445587
-1.0,9.69,1.0866761471791921
-1.0,9.7,1.0789348905138256
